DF40C-70DS-0.4V,A79026-001 Pair
1,-
2,B20
3,B21
4,B22
5,B23
6,B17
7,B16
8,B24
9,B15
10,B14
11,B25
12,B13
13,B12
14,B26
15,B11
16,B27
17,B10
18,B28
19,B9
20,B29
21,B8
22,B30
23,B7
24,B6
25,B31
26,B5
27,B4
28,B32
29,B3
30,B33
31,B34
32,B35
33,B2
34,-
35,-
36,-
37,B2
38,A3
39,A4
40,A5
41,A35
42,A34
43,A6
44,A33
45,A32
46,A7
47,A31
48,A30
49,A8
50,A29
51,A9
52,A28
53,A10
54,A27
55,A11
56,A26
57,A12
58,A25
59,A24
60,A13
61,A23
62,A14
63,A22
64,A21
65,A16
66,A15
67,A17
68,A20
69,A19
69,B19
70,A36
70,B36
70,A18
70,B18
