A79026-001 Pair,OEPS-6805
A1,GND
A2,R1
A4,TT1A
A6,TT1B
A16,TT1C
A18,TT1D
A8,TT2A
A10,TT2B
A12,TT2C
A14,TT2D
A3,TT3A
A5,TT3B
A7,TT3C
A9,TT3D
A11,TT4A
A13,TT4B
A15,TT4C
A17,TT4D
A19,TT5A
A21,TT5B
A23,TT5C
A25,TT5D
A27,TT6A
A29,TT6B
A31,TT6C
A33,TT6D
A24,TT7A
A26,TT7B
A28,TT7C
A30,TT7D
A20,TT8A
A22,TT8B
A32,TT8C
A34,TT8D
A35,R2
A36,GND
B1,GND
B35,R3
B19,TT9A
B21,TT9B
B31,TT9C
B33,TT9D
B23,TT10A
B25,TT10B
B27,TT10C
B29,TT10D
B28,TT11A
B30,TT11B
B32,TT11C
B34,TT11D
B20,TT12A
B22,TT12B
B24,TT12C
B26,TT12D
B12,TT13A
B14,TT13B
B16,TT13C
B18,TT13D
B4,TT14A
B6,TT14B
B8,TT14C
B10,TT14D
B7,TT15A
B9,TT15B
B11,TT15C
B13,TT15D
B3,TT16A
B5,TT16B
B15,TT16C
B17,TT16D
B2,R4
B36,GND
