DF40C-70DS-0.4V,OEPS-6813
49,TT1A
50,TT1B
51,TT1C
52,TT1D
45,TT2A
46,TT2B
47,TT2C
48,TT2D
41,TT3A
42,TT3B
43,TT3C
44,TT3D
40,TT4A
37,TT4B
38,TT4C
39,TT4D
33,TT5A
32,TT5B
31,TT5C
30,TT5D
29,TT6A
28,TT6B
27,TT6C
26,TT6D
25,TT7A
24,TT7B
23,TT7C
22,TT7D
21,TT8A
20,TT8B
19,TT8C
18,TT8D
14,TT9A
15,TT9B
16,TT9C
17,TT9D
10,TT10A
11,TT10B
12,TT10C
13,TT10D
6,TT11A
7,TT11B
8,TT11C
9,TT11D
2,TT12A
3,TT12B
4,TT12C
5,TT12D
67,TT13A
66,TT13B
65,TT13C
68,TT13D
64,TT14A
63,TT14B
62,TT14C
61,TT14D
60,TT15A
59,TT15B
58,TT15C
57,TT15D
56,TT16A
55,TT16B
54,TT16C
53,TT16D
36,AN
35,CAT1 ('C1')
34,CAT0 ('C0')
1,ISTIM ('ES')
69,REF ('R')
70,GND ('G')
